model,input_shape,output_shape,architectures,task,dataset,#labels,labels,task_specific_params,problem_type,finetuning_task
Aftabhussain/Tomato_Leaf_Classifier,224.0,768.0,['ViTForImageClassification'],,hfpics,2.0,"['Bacterial_spot', 'Healthy']",,,
Ahmed9275/ALL,224.0,768.0,['ViTForImageClassification'],,,2.0,,,single_label_classification,
Ahmed9275/ALL-2,224.0,768.0,['ViTForImageClassification'],,,2.0,,,single_label_classification,
Ahmed9275/ALL-3,224.0,768.0,['SwinForImageClassification'],,imagenet,1000.0,imagenet,,single_label_classification,
Ahmed9275/ALL-94.5,224.0,768.0,['ViTForImageClassification'],,,2.0,,,single_label_classification,
Ahmed9275/ALL-test,224.0,768.0,['SwinForImageClassification'],,imagenet,1000.0,imagenet,,single_label_classification,
Ahmed9275/Vit-Cifar100,224.0,768.0,['ViTForImageClassification'],,cifar100,100.0,cifar100,,single_label_classification,
AhmedSayeem/VIT_Basic,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['chairs', 'hot dog', 'ice cream', 'ladders', 'tables']",,single_label_classification,
AkshatSurolia/BEiT-FaceMask-Finetuned,224.0,768.0,['BeitForImageClassification'],,poolrf2001/mask,2.0,poolrf2001/mask,,,
AkshatSurolia/ConvNeXt-FaceMask-Finetuned,224.0,768.0,['ConvNextForImageClassification'],,poolrf2001/mask,2.0,poolrf2001/mask,,single_label_classification,
AkshatSurolia/DeiT-FaceMask-Finetuned,224.0,768.0,['DeiTForImageClassification'],,poolrf2001/mask,2.0,poolrf2001/mask,,,
AkshatSurolia/ViT-FaceMask-Finetuned,224.0,768.0,['ViTForImageClassification'],,poolrf2001/mask,2.0,poolrf2001/mask,,,
Amrrs/indian-foods,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['idli', 'kachori', 'pani puri', 'samosa', 'vada pav']",,,
Amrrs/south-indian-foods,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['dosai', 'idiyappam', 'idli', 'puttu', 'vadai']",,,
Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,224.0,768.0,['SwinForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,
AykeeSalazar/vc-bantai-vit-withoutAMBI,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['Public Drinking', 'Public Smoking', 'non-violation']",,single_label_classification,
AykeeSalazar/violation-classification-bantai-vit-v100ep,224.0,768.0,['ViTForImageClassification'],,,4.0,,,single_label_classification,
AykeeSalazar/violation-classification-bantai-vit-v80ep,224.0,768.0,['ViTForImageClassification'],,,4.0,,,single_label_classification,
AykeeSalazar/violation-classification-bantai-vit-withES,224.0,768.0,['ViTForImageClassification'],,,4.0,,,single_label_classification,
AykeeSalazar/violation-classification-bantai_vit,224.0,768.0,['ViTForImageClassification'],,,4.0,,,single_label_classification,
AykeeSalazar/vit-base-patch16-224-in21k-bantai_vitv1,224.0,768.0,['ViTForImageClassification'],,,4.0,,,single_label_classification,
Calin/convnext-tiny-finteuned-eurosat,224.0,768.0,['ConvNextForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,
Frodnar/bee-likes,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['bee', 'hoverfly', 'wasp']",,,
GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,224.0,768.0,['SwinForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,
Giuliano/places,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['Beach', 'City', 'Forest']",,,
HHousen/household-rooms,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['bathroom', 'bedroom', 'dining room', 'kitchen', 'living room']",,,
Hijazzi/rare-puppers,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['corgi', 'samoyed', 'shiba inu']",,single_label_classification,
IDEA-CCNL/Taiyi-vit-87M-D,224.0,768.0,['ViTForImageClassification'],,imagenet,1000.0,imagenet,,,
Jazzweller/swin-tiny-patch4-window7-224-finetuned-eurosat,224.0,768.0,['SwinForImageClassification'],,,2.0,,,single_label_classification,
KL/swin-tiny-patch4-window7-224-finetuned-eurosat,224.0,768.0,['SwinForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,
LilDataScientist/rare-puppers,,,,,,,,,,
LilDataScientist/rare-puppers-2,,,,,,,,,,
LorenzoDeMattei/lawn-weeds,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['clover', 'dichondra', 'grass']",,,
Matthijs/snacks-classifier,224.0,768.0,['SwinForImageClassification'],,Matthijs/snacks,20.0,Matthijs/snacks,,single_label_classification,
Neto71/sea_mammals,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['blue whale', 'dolphin', 'orca whale']",,,
NhatPham/vit-base-patch16-224-recylce-ft,224.0,768.0,['ViTForImageClassification'],,,3.0,,,,
Nonem100/Test-Model,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['cotton candy', 'hamburger', 'hot dog', 'nachos', 'popcorn']",,single_label_classification,
Rajaram1996/FacialEmoRecog,224.0,768.0,['ViTForImageClassification'],,FastJobs/Visual_Emotional_Analysis,8.0,FastJobs/Visual_Emotional_Analysis,,,
Sena/dog,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['buldog', 'golden', 'pug']",,,
Sena/flowers,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['karanfil', 'leylak', 'menekse', 'nergis', 'zambak']",,,
SriramSridhar78/sriram-car-classifier,224.0,768.0,['ViTForImageClassification'],,stanfordcars,196.0,stanfordcars,,,
Suzana/new-york-tokyo-london,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['London', 'New York', 'Tokyo']",,,
SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,224.0,768.0,['ConvNextForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,
Symbermine/rare-puppers,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['Husky siberiano', 'cocker spaniel', 'galgo', 'labrador', 'pastor aleman']",,single_label_classification,
V0ltron/vit-base-patch16-224-finetuned-largerDataSet-docSeperator-more-labels-all-apache2,224.0,768.0,['ViTForImageClassification'],,,6.0,,,single_label_classification,
Vemi/orchid219_ft_vit-large-patch16-224-in21k-finetuned-eurosat,224.0,1024.0,['ViTForImageClassification'],,,52.0,,,single_label_classification,
Visual-Attention-Network/van-base,224.0,512.0,['VanForImageClassification'],,imagenet,1000.0,imagenet,,,
Visual-Attention-Network/van-large,224.0,512.0,['VanForImageClassification'],,imagenet,1000.0,imagenet,,,
Visual-Attention-Network/van-small,224.0,512.0,['VanForImageClassification'],,imagenet,1000.0,imagenet,,,
Visual-Attention-Network/van-tiny,224.0,256.0,['VanForImageClassification'],,imagenet,1000.0,imagenet,,,
WinKawaks/vit-small-patch16-224,224.0,384.0,['ViTForImageClassification'],,imagenet,1000.0,imagenet,,,
WinKawaks/vit-tiny-patch16-224,224.0,192.0,['ViTForImageClassification'],,imagenet,1000.0,imagenet,,,
Zayn/VIT_Basic,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['chairs', 'hot dog', 'ice cream', 'ladders', 'tables']",,single_label_classification,
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,224.0,768.0,['ViTForImageClassification'],,cifar10,10.0,cifar10,,single_label_classification,
abdusahmbzuai/CarViT,224.0,768.0,['ViTForImageClassification'],,,42.0,,,single_label_classification,
ajanco/greens,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['cucumber', 'green beans', 'okra', 'pickle', 'zucinni']",,,
akahana/asl-vit,224.0,768.0,['ViTForImageClassification'],,,29.0,,,,
akahana/vit-base-cats-vs-dogs,224.0,768.0,['ViTForImageClassification'],,cats_vs_dogs,2.0,cats_vs_dogs,,,
amitkayal/ak-vit-base-patch16-224-in21k-image_classification,224.0,768.0,['ViTForImageClassification'],,,187.0,,,single_label_classification,
aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,224.0,768.0,['SwinForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,
b25mayank3/shirt_identifier,224.0,768.0,['ViTForImageClassification'],,hfpics,4.0,"['Big Check shirt', 'Formal Shirt', 'casual shirt', 'denim shirt']",,,
black/simple_kitchen,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['best kitchen island', 'kitchen cabinet', 'kitchen countertop']",,,
davanstrien/convnext_flyswot,224.0,1024.0,['ConvNextForImageClassification'],,,8.0,,,single_label_classification,
davanstrien/convnext_manuscript_iiif,224.0,1024.0,['ConvNextForImageClassification'],,davanstrien/iiif_manuscripts_label_ge_50,16391.0,davanstrien/iiif_manuscripts_label_ge_50,,single_label_classification,
davanstrien/deit_flyswot,224.0,768.0,['ViTForImageClassification'],,,8.0,,,single_label_classification,
davanstrien/flyswot_iiif,224.0,1024.0,['ConvNextForImageClassification'],,,16391.0,,,,
davanstrien/flyswot_test,224.0,1024.0,['ConvNextForImageClassification'],,,8.0,,,single_label_classification,
davanstrien/iiif_manuscript_vit,224.0,768.0,['ViTForImageClassification'],,,13.0,,,,
davanstrien/vit_flyswot_test,224.0,768.0,['ViTForImageClassification'],,,8.0,,,single_label_classification,
daveni/upside_down_classifier,224.0,768.0,['ViTForImageClassification'],,,2.0,,,,
dimbyTa/rock-challenge-DeiT-solo,224.0,384.0,['ViTForImageClassification'],,,4.0,,,single_label_classification,
dimbyTa/rock-challenge-DeiT-solo-2,224.0,384.0,['ViTForImageClassification'],,,4.0,,,single_label_classification,
dimbyTa/rock-challenge-ViT-two-by-two,224.0,768.0,['ViTForImageClassification'],,,4.0,,,single_label_classification,
domluna/vit-base-patch16-224-in21k-shiba-inu-detector,224.0,768.0,['ViTForImageClassification'],,hfpics,4.0,"['Bulldog', 'German Shepherd Dog', 'Golden Retriever Dog', 'Shiba Inu Dog']",,single_label_classification,
drab/Infrastructures,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['Cooling tower', 'Transmission grid', 'Wind turbines']",,,
driboune/skin_type,224.0,768.0,['ViTForImageClassification'],,hfpics,2.0,"['dark skin', 'light skin']",,single_label_classification,
edixo/road_good_damaged_condition,224.0,768.0,['ViTForImageClassification'],,hfpics,2.0,"['damaged road', 'good road']",,,
eliwill/rare-puppers,224.0,768.0,['ViTForImageClassification'],,,5.0,,,,
eren23/pneumonia-bielefeld-dl-course,224.0,768.0,['ViTForImageClassification'],,,3.0,,,single_label_classification,
eren23/pneumonia_test_attempt,224.0,768.0,['ViTForImageClassification'],,chest-xray-pneumonia,2.0,chest-xray-pneumonia,,single_label_classification,
eslamxm/vit-base-food101,224.0,768.0,['ViTForImageClassification'],,food101,101.0,food101,,single_label_classification,
etmckinley/swin-tiny-patch4-window7-224-finetuned-eurosat,,,,,,,,,,
facebook/convnext-base-224,224.0,1024.0,['ConvNextForImageClassification'],,imagenet,1000.0,imagenet,,,
facebook/convnext-base-224-22k,224.0,1024.0,['ConvNextForImageClassification'],,imagenet-21k,21841.0,imagenet-21k,,,
facebook/convnext-base-224-22k-1k,224.0,1024.0,['ConvNextForImageClassification'],,imagenet,1000.0,imagenet,,,
facebook/convnext-base-384,384.0,1024.0,['ConvNextForImageClassification'],,imagenet,1000.0,imagenet,,,
facebook/convnext-base-384-22k-1k,384.0,1024.0,['ConvNextForImageClassification'],,imagenet,1000.0,imagenet,,,
facebook/convnext-large-224,224.0,1536.0,['ConvNextForImageClassification'],,imagenet,1000.0,imagenet,,,
facebook/convnext-large-224-22k,224.0,1536.0,['ConvNextForImageClassification'],,imagenet-21k,21841.0,imagenet-21k,,,
facebook/convnext-large-224-22k-1k,224.0,1536.0,['ConvNextForImageClassification'],,imagenet,1000.0,imagenet,,,
facebook/convnext-large-384,384.0,1536.0,['ConvNextForImageClassification'],,imagenet,1000.0,imagenet,,,
facebook/convnext-large-384-22k-1k,384.0,1536.0,['ConvNextForImageClassification'],,imagenet,1000.0,imagenet,,,
facebook/convnext-small-224,224.0,768.0,['ConvNextForImageClassification'],,imagenet,1000.0,imagenet,,,
facebook/convnext-tiny-224,224.0,768.0,['ConvNextForImageClassification'],,imagenet,1000.0,imagenet,,,
facebook/convnext-xlarge-224-22k,224.0,2048.0,['ConvNextForImageClassification'],,imagenet-21k,21841.0,imagenet-21k,,,
facebook/convnext-xlarge-224-22k-1k,224.0,2048.0,['ConvNextForImageClassification'],,imagenet,1000.0,imagenet,,,
facebook/deit-base-distilled-patch16-224,256.0,768.0,['DeiTForImageClassificationWithTeacher'],,imagenet,1000.0,imagenet,,,
facebook/deit-base-distilled-patch16-384,384.0,768.0,['DeiTForImageClassificationWithTeacher'],,imagenet,1000.0,imagenet,,,
facebook/deit-base-patch16-224,224.0,768.0,['ViTForImageClassification'],,imagenet,1000.0,imagenet,,,
facebook/deit-base-patch16-384,384.0,768.0,['ViTForImageClassification'],,imagenet,1000.0,imagenet,,,
facebook/deit-small-distilled-patch16-224,224.0,384.0,['DeiTForImageClassificationWithTeacher'],,imagenet,1000.0,imagenet,,,
facebook/deit-small-patch16-224,224.0,384.0,['ViTForImageClassification'],,imagenet,1000.0,imagenet,,,
facebook/deit-tiny-distilled-patch16-224,224.0,192.0,['DeiTForImageClassificationWithTeacher'],,imagenet,1000.0,imagenet,,,
facebook/deit-tiny-patch16-224,224.0,192.0,['ViTForImageClassification'],,imagenet,1000.0,imagenet,,,
ferdinand/rare-puppers,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['corgi', 'samoyed', 'shiba inu']",,,
filipafcastro/beer_vs_wine,224.0,768.0,['ViTForImageClassification'],,hfpics,2.0,"['beer', 'wine']",,,
firas-spanioli/beer-whisky-wine-detection,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['beer', 'whisky', 'wine']",,single_label_classification,
firebolt/llama_or_what,224.0,768.0,['ViTForImageClassification'],,hfpics,4.0,"['alpaca', 'guanaco', 'llama', 'vicuna']",,,
firebolt/llama_or_what2,224.0,768.0,['ViTForImageClassification'],,hfpics,4.0,"['alpaca', 'guanaco', 'llama', 'vicuna']",,,
flyswot/convnext-tiny-224_flyswot,224.0,768.0,['ConvNextForImageClassification'],,,8.0,,,single_label_classification,
flyswot/flyswot,224.0,768.0,['ConvNextForImageClassification'],,,8.0,,,single_label_classification,
flyswot/test,224.0,192.0,['ViTForImageClassification'],,hfpics,2.0,"['control', 'flysheet']",,single_label_classification,
gatecitypreservation/architectural_styles,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['classical revival architecture', 'craftsman bungalow architecture', 'mid-century modern ranch', 'queen anne architecture', 'tudor cottage architecture']",,,
godiec/diam,224.0,768.0,['ViTForImageClassification'],,hfpics,4.0,"['bunny', 'moon', 'sun', 'tiger']",,,
