model,dataset,extractor,classifier,pretrain,dimension
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,cifar10,ViTFeatureExtractor,ViTModel,768
tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,cifar10,ViTFeatureExtractor,ViTModel,google/vit-base-patch16-224-in21k,768
nateraw/vit-base-patch16-224-cifar10,cifar10,ViTFeatureExtractor,ViTModel,imagenet-21k,768
ahsanjavid/convnext-tiny-finetuned-cifar10,cifar10,ConvNextFeatureExtractor,ConvNextModel,768
MazenAmria/swin-tiny-finetuned-cifar100,cifar100,AutoImageProcessor,SwinModel,768
edumunozsala/vit_base-224-in21k-ft-cifar100,cifar100,ViTFeatureExtractor,ViTModel,768
Ahmed9275/Vit-Cifar100,cifar100,ViTFeatureExtractor,ViTModel,google/vit-base-patch16-224-in21k,768
MazenAmria/swin-tiny-finetuned-cifar100,cifar100,AutoImageProcessor,SwinModel,microsoft/swin-tiny-patch4-window7-224,768
microsoft/swin-tiny-patch4-window7-224,imagenet,AutoImageProcessor,SwinModel,
microsoft/resnet-50,imagenet,AutoImageProcessor,ResNetModel,
google/mobilenet_v1_0.75_192,imagenet,MobileNetV1FeatureExtractor,MobileNetV1Model,
google/vit-base-patch16-224-in21k,imagenet-21k,AutoImageProcessor,ViTModel,
facebook/vit-mae-base,imagenet,AutoImageProcessor,ViTMAEModel,
microsoft/resnet-18,imagenet,AutoImageProcessor,ResNetModel,
microsoft/cvt-13,imagenet,AutoFeatureExtractor,CvtModel,
apple/mobilevit-small,imagenet,MobileViTFeatureExtractor,MobileViTModel,
facebook/convnext-tiny-224,imagenet,ConvNextFeatureExtractor,ConvNextModel,
nateraw/food,food101,AutoImageProcessor,ViTModel,google/vit-base-patch16-224-in21k,768
skylord/swin-finetuned-food101,food101,AutoImageProcessor,SwinModel,microsoft/swin-base-patch4-window7-224,1024
microsoft/swin-base-patch4-window7-224,imagenet,AutoFeatureExtractor,SwinModel,
yujiepan/internal.swin-base-food101-int8-structured40,food101,AutoFeatureExtractor,SwinModel,microsoft/swin-base-patch4-window7-224,1024
StatsGary/VIT-food101-image-classifier,food101,ViTFeatureExtractor,ViTModel,768
luigg/my_awesome_food_model,food101,ViTFeatureExtractor,ViTModel,768
sshreshtha/vit-base-patch32-224-in21k-finetuned-eurosat,food101,ViTFeatureExtractor,ViTModel,
vuiseng9/swin-base-food101-int8-structured43-15eph,food101,AutoFeatureExtractor,SwinModel,
jsacex/vit-base-patch16-224-in21k-finetuned-lora-food101,food101,ViTFeatureExtractor,ViTModel,